EPSG,ESRI
4183,"GEOGCS[""Azores Central 1948"",DATUM[""D_Azores_Central_Islands_1948"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4184,"GEOGCS[""Azores Oriental 1940"",DATUM[""D_Azores_Oriental_Islands_1940"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4185,"GEOGCS[""Madeira 1936"",DATUM[""D_Madeira_1936"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4188,"GEOGCS[""OSNI 1952"",DATUM[""D_OSNI_1952"",SPHEROID[""Airy_1830"",6377563.396,299.3249646]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4189,"GEOGCS[""REGVEN"",DATUM[""D_REGVEN"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4190,"GEOGCS[""POSGAR 98"",DATUM[""D_POSGAR_1998"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4191,"GEOGCS[""Albanian 1987"",DATUM[""D_Albanian_1987"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4192,"GEOGCS[""Douala 1948"",DATUM[""D_Douala_1948"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4193,"GEOGCS[""Manoca 1962"",DATUM[""D_Manoca_1962"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4194,"GEOGCS[""Qornoq 1927"",DATUM[""D_Qornoq_1927"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4195,"GEOGCS[""Scoresbysund 1952"",DATUM[""D_Scoresbysund_1952"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4196,"GEOGCS[""Ammassalik 1958"",DATUM[""D_Ammassalik_1958"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4197,"GEOGCS[""Garoua"",DATUM[""D_Garoua"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4198,"GEOGCS[""Kousseri"",DATUM[""D_Kousseri"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4199,"GEOGCS[""Egypt 1930"",DATUM[""D_Egypt_1930"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4200,"GEOGCS[""Pulkovo 1995"",DATUM[""D_Pulkovo_1995"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4201,"GEOGCS[""Adindan"",DATUM[""D_Adindan"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4202,"GEOGCS[""AGD66"",DATUM[""D_Australian_1966"",SPHEROID[""Australian_National_Spheroid"",6378160,298.25]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4203,"GEOGCS[""AGD84"",DATUM[""D_Australian_1984"",SPHEROID[""Australian_National_Spheroid"",6378160,298.25]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4204,"GEOGCS[""Ain el Abd"",DATUM[""D_Ain_el_Abd_1970"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4205,"GEOGCS[""Afgooye"",DATUM[""D_Afgooye"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4206,"GEOGCS[""Agadez"",DATUM[""D_Agadez"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4207,"GEOGCS[""Lisbon"",DATUM[""D_Lisbon"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4208,"GEOGCS[""Aratu"",DATUM[""D_Aratu"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4209,"GEOGCS[""Arc 1950"",DATUM[""D_Arc_1950"",SPHEROID[""Clarke_1880_Arc"",6378249.145,293.4663077]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4210,"GEOGCS[""Arc 1960"",DATUM[""D_Arc_1960"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4211,"GEOGCS[""Batavia"",DATUM[""D_Batavia"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4212,"GEOGCS[""Barbados 1938"",DATUM[""D_Barbados_1938"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4213,"GEOGCS[""Beduaram"",DATUM[""D_Beduaram"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4214,"GEOGCS[""Beijing 1954"",DATUM[""D_Beijing_1954"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4215,"GEOGCS[""Belge 1950"",DATUM[""D_Belge_1950"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4216,"GEOGCS[""Bermuda 1957"",DATUM[""D_Bermuda_1957"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4217,"PROJCS[""NAD83_BLM_59N_ftUS"",GEOGCS[""GCS_North_American_1983"",DATUM[""D_North_American_1983"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",171],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",1640416.67],PARAMETER[""false_northing"",0],UNIT[""Foot_US"",0.30480060960121924]]"
4218,"GEOGCS[""Bogota 1975"",DATUM[""D_Bogota"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4219,"GEOGCS[""Bukit Rimpah"",DATUM[""D_Bukit_Rimpah"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4220,"GEOGCS[""Camacupa"",DATUM[""D_Camacupa"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4221,"GEOGCS[""Campo Inchauspe"",DATUM[""D_Campo_Inchauspe"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4222,"GEOGCS[""Cape"",DATUM[""D_Cape"",SPHEROID[""Clarke_1880_Arc"",6378249.145,293.4663077]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4223,"GEOGCS[""Carthage"",DATUM[""D_Carthage"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4224,"GEOGCS[""Chua"",DATUM[""D_Chua"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4225,"GEOGCS[""Corrego Alegre 1970-72"",DATUM[""D_Corrego_Alegre"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4226,"GEOGCS[""Cote d'Ivoire"",DATUM[""D_Cote_d_Ivoire"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4227,"GEOGCS[""Deir ez Zor"",DATUM[""D_Deir_ez_Zor"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4228,"GEOGCS[""Douala"",DATUM[""D_Douala"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4229,"GEOGCS[""Egypt 1907"",DATUM[""D_Egypt_1907"",SPHEROID[""Helmert_1906"",6378200,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4230,"GEOGCS[""ED50"",DATUM[""D_European_1950"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4231,"GEOGCS[""ED87"",DATUM[""D_European_1987"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4232,"GEOGCS[""Fahud"",DATUM[""D_Fahud"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4233,"GEOGCS[""Gandajika 1970"",DATUM[""D_Gandajika_1970"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4234,"GEOGCS[""Garoua"",DATUM[""D_Garoua"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4235,"GEOGCS[""Guyane Francaise"",DATUM[""D_Guyane_Francaise"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4236,"GEOGCS[""Hu Tzu Shan 1950"",DATUM[""D_Hu_Tzu_Shan"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4237,"GEOGCS[""HD72"",DATUM[""D_Hungarian_1972"",SPHEROID[""GRS_1967"",6378160,298.247167427]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4238,"GEOGCS[""ID74"",DATUM[""D_Indonesian_1974"",SPHEROID[""Indonesian_National_Spheroid"",6378160,298.247]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4239,"GEOGCS[""Indian 1954"",DATUM[""D_Indian_1954"",SPHEROID[""Everest_Adjustment_1937"",6377276.345,300.8017]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4240,"GEOGCS[""Indian 1975"",DATUM[""D_Indian_1975"",SPHEROID[""Everest_Adjustment_1937"",6377276.345,300.8017]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4241,"GEOGCS[""Jamaica 1875"",DATUM[""D_Jamaica_1875"",SPHEROID[""Clarke_1880"",6378249.144808011,293.4663076556349]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4242,"GEOGCS[""JAD69"",DATUM[""D_Jamaica_1969"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4243,"GEOGCS[""Kalianpur 1880"",DATUM[""D_Kalianpur_1880"",SPHEROID[""Everest_1830_Definition"",6377299.36559538,300.8017255433552]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4244,"GEOGCS[""Kandawala"",DATUM[""D_Kandawala"",SPHEROID[""Everest_Adjustment_1937"",6377276.345,300.8017]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4245,"GEOGCS[""Kertau 1968"",DATUM[""D_Kertau"",SPHEROID[""Everest_1830_Modified"",6377304.063,300.8017]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4246,"GEOGCS[""KOC"",DATUM[""D_Kuwait_Oil_Company"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4247,"GEOGCS[""La Canoa"",DATUM[""D_La_Canoa"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4248,"GEOGCS[""PSAD56"",DATUM[""D_Provisional_S_American_1956"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4249,"GEOGCS[""Lake"",DATUM[""D_Lake"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4250,"GEOGCS[""Leigon"",DATUM[""D_Leigon"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4251,"GEOGCS[""Liberia 1964"",DATUM[""D_Liberia_1964"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4252,"GEOGCS[""Lome"",DATUM[""D_Lome"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4253,"GEOGCS[""Luzon 1911"",DATUM[""D_Luzon_1911"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4254,"GEOGCS[""Hito XVIII 1963"",DATUM[""D_Hito_XVIII_1963"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4255,"GEOGCS[""Herat North"",DATUM[""D_Herat_North"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4256,"GEOGCS[""Mahe 1971"",DATUM[""D_Mahe_1971"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4257,"GEOGCS[""Makassar"",DATUM[""D_Makassar"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4258,"GEOGCS[""ETRS89"",DATUM[""D_ETRS_1989"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4259,"GEOGCS[""Malongo 1987"",DATUM[""D_Malongo_1987"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4260,"GEOGCS[""Manoca"",DATUM[""D_Manoca"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4261,"GEOGCS[""Merchich"",DATUM[""D_Merchich"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4262,"GEOGCS[""Massawa"",DATUM[""D_Massawa"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4263,"GEOGCS[""Minna"",DATUM[""D_Minna"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4264,"GEOGCS[""Mhast"",DATUM[""D_Mhast"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4265,"GEOGCS[""Monte Mario"",DATUM[""D_Monte_Mario"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4266,"GEOGCS[""M'poraloko"",DATUM[""D_Mporaloko"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4267,"GEOGCS[""GCS_North_American_1927"",DATUM[""D_North_American_1927"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4268,"GEOGCS[""NAD27 Michigan"",DATUM[""D_North_American_Michigan"",SPHEROID[""Clarke_1866_Michigan"",6378450.047548896,294.9786971646739]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4269,"GEOGCS[""GCS_North_American_1983"",DATUM[""D_North_American_1983"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4270,"GEOGCS[""Nahrwan 1967"",DATUM[""D_Nahrwan_1967"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4271,"GEOGCS[""Naparima 1972"",DATUM[""D_Naparima_1972"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4272,"GEOGCS[""GCS_New_Zealand_1949"",DATUM[""D_New_Zealand_1949"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4273,"GEOGCS[""NGO 1948"",DATUM[""D_NGO_1948"",SPHEROID[""Bessel_Modified"",6377492.018,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4274,"GEOGCS[""Datum 73"",DATUM[""D_Datum_73"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4275,"GEOGCS[""NTF"",DATUM[""D_NTF"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4276,"GEOGCS[""NSWC 9Z-2"",DATUM[""D_NSWC_9Z_2"",SPHEROID[""NWL_9D"",6378145,298.25]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4277,"GEOGCS[""OSGB 1936"",DATUM[""D_OSGB_1936"",SPHEROID[""Airy_1830"",6377563.396,299.3249646]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4278,"GEOGCS[""OSGB70"",DATUM[""D_OSGB_1970_SN"",SPHEROID[""Airy_1830"",6377563.396,299.3249646]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4279,"GEOGCS[""OS(SN)80"",DATUM[""D_OS_SN_1980"",SPHEROID[""Airy_1830"",6377563.396,299.3249646]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4280,"GEOGCS[""Padang"",DATUM[""D_Padang_1884"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4281,"GEOGCS[""Palestine 1923"",DATUM[""D_Palestine_1923"",SPHEROID[""Clarke_1880_Benoit"",6378300.789,293.4663155389802]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4282,"GEOGCS[""Pointe Noire"",DATUM[""D_Pointe_Noire"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4283,"GEOGCS[""GDA94"",DATUM[""D_GDA_1994"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4284,"GEOGCS[""Pulkovo 1942"",DATUM[""D_Pulkovo_1942"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4285,"GEOGCS[""Qatar 1974"",DATUM[""D_Qatar"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4286,"GEOGCS[""Qatar 1948"",DATUM[""D_Qatar_1948"",SPHEROID[""Helmert_1906"",6378200,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4287,"GEOGCS[""Qornoq"",DATUM[""D_Qornoq"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4288,"GEOGCS[""Loma Quintana"",DATUM[""D_Loma_Quintana"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4289,"GEOGCS[""Amersfoort"",DATUM[""D_Amersfoort"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4291,"GEOGCS[""SAD69"",DATUM[""D_South_American_1969"",SPHEROID[""GRS_1967"",6378160,298.247167427]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4292,"GEOGCS[""Sapper Hill 1943"",DATUM[""D_Sapper_Hill_1943"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4293,"GEOGCS[""Schwarzeck"",DATUM[""D_Schwarzeck"",SPHEROID[""Bessel_Namibia_GLM"",6377483.865280419,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4294,"GEOGCS[""Segora"",DATUM[""D_Segora"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4295,"GEOGCS[""Serindung"",DATUM[""D_Serindung"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4296,"GEOGCS[""Sudan"",DATUM[""D_Sudan"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4297,"GEOGCS[""Tananarive"",DATUM[""D_Tananarive_1925"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4298,"GEOGCS[""Timbalai 1948"",DATUM[""D_Timbalai_1948"",SPHEROID[""Everest_1830_1967_Definition"",6377298.556,300.8017]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4299,"GEOGCS[""TM65"",DATUM[""D_TM65"",SPHEROID[""Airy_Modified_1849"",6377340.189,299.3249646]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4300,"GEOGCS[""TM75"",DATUM[""D_TM75"",SPHEROID[""Airy_Modified_1849"",6377340.189,299.3249646]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4301,"GEOGCS[""Tokyo"",DATUM[""D_Tokyo"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4302,"GEOGCS[""Trinidad 1903"",DATUM[""D_Trinidad_1903"",SPHEROID[""Clarke_1858"",6378293.645208759,294.2606763692569]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4303,"GEOGCS[""TC(1948)"",DATUM[""D_Trucial_Coast_1948"",SPHEROID[""Helmert_1906"",6378200,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4304,"GEOGCS[""Voirol 1875"",DATUM[""D_Voirol_1875"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4306,"GEOGCS[""Bern 1938"",DATUM[""D_Bern_1938"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4307,"GEOGCS[""Nord Sahara 1959"",DATUM[""D_Nord_Sahara_1959"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4308,"GEOGCS[""RT38"",DATUM[""D_Stockholm_1938"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4309,"GEOGCS[""Yacare"",DATUM[""D_Yacare"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4310,"GEOGCS[""Yoff"",DATUM[""D_Yoff"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4311,"GEOGCS[""Zanderij"",DATUM[""D_Zanderij"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4312,"GEOGCS[""MGI"",DATUM[""D_MGI"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4313,"GEOGCS[""Belge 1972"",DATUM[""D_Belge_1972"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4314,"GEOGCS[""DHDN"",DATUM[""D_Deutsches_Hauptdreiecksnetz"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4315,"GEOGCS[""Conakry 1905"",DATUM[""D_Conakry_1905"",SPHEROID[""Clarke_1880_IGN"",6378249.2,293.46602]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4316,"GEOGCS[""Dealul Piscului 1930"",DATUM[""D_Dealul_Piscului_1933"",SPHEROID[""International_1924"",6378388,297]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
4317,"GEOGCS[""Dealul Piscului 1970"",DATUM[""D_Dealul_Piscului_1970"",SPHEROID[""Krasovsky_1940"",6378245,298.3]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]]"
