EPSG,ESRI
2031,"PROJCS[""NAD27_CGQ77_UTM_zone_17N"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-81],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2032,"PROJCS[""NAD27_CGQ77_UTM_zone_18N"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-75],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2033,"PROJCS[""NAD27_CGQ77_UTM_zone_19N"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-69],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2034,"PROJCS[""NAD27_CGQ77_UTM_zone_20N"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-63],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2035,"PROJCS[""NAD27_CGQ77_UTM_zone_21N"",GEOGCS[""GCS_NAD27(CGQ77)"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-57],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2036,"PROJCS[""NAD83_CSRS98_New_Brunswick_Stereo_deprecated"",GEOGCS[""GCS_NAD83(CSRS98)"",DATUM[""D_North_American_1983_CSRS98"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Double_Stereographic""],PARAMETER[""latitude_of_origin"",46.5],PARAMETER[""central_meridian"",-66.5],PARAMETER[""scale_factor"",0.999912],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",7500000],UNIT[""Meter"",1]]"
2037,"PROJCS[""NAD83_CSRS98_UTM_zone_19N_deprecated"",GEOGCS[""GCS_NAD83(CSRS98)"",DATUM[""D_North_American_1983_CSRS98"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-69],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2038,"PROJCS[""NAD83_CSRS98_UTM_zone_20N_deprecated"",GEOGCS[""GCS_NAD83(CSRS98)"",DATUM[""D_North_American_1983_CSRS98"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-63],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
2039,"PROJCS[""Israel_Israeli_TM_Grid"",GEOGCS[""GCS_Israel"",DATUM[""D_Israel"",SPHEROID[""GRS_1980"",6378137,298.257222101]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",31.73439361111111],PARAMETER[""central_meridian"",35.20451694444445],PARAMETER[""scale_factor"",1.0000067],PARAMETER[""false_easting"",219529.584],PARAMETER[""false_northing"",626907.39],UNIT[""Meter"",1]]"
2040,"PROJCS[""Locodjo_1965_UTM_zone_30N"",GEOGCS[""GCS_Locodjo 1965"",DATUM[""D_Locodjo_1965"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.017453292519943295]],PROJECTION[""Transverse_Mercator""],PARAMETER[""latitude_of_origin"",0],PARAMETER[""central_meridian"",-3],PARAMETER[""scale_factor"",0.9996],PARAMETER[""false_easting"",500000],PARAMETER[""false_northing"",0],UNIT[""Meter"",1]]"
